INSERTED;UUID;LINE;NAME;DIRECT_LINK;GROUP_NAME;GROUP_NAME_CNT;CHANGE_SAME;CHANGE_DIFF;HUMANIZE_DIRECT_LINK;HUMANIZE_CHANGE_SAME;LATITUDE;LONGITUDE
10;b312bda1-e65c-4592-b58b-033ad4718767;M1;La Défense Grande Arche;14d98de6-ffc6-43a2-860e-225a5bafb31a;La Défense Grande Arche;1;;;Esplanade de La Défense;;48,89218707640;2,23701805640
20;14d98de6-ffc6-43a2-860e-225a5bafb31a;M1;Esplanade de La Défense;b312bda1-e65c-4592-b58b-033ad4718767/c1f64a40-3640-4a29-a774-9ecf46583272;Esplanade de La Défense;1;;;La Défense Grande Arche / Pont de Neuilly;;48,88863121780;2,24793243532
30;c1f64a40-3640-4a29-a774-9ecf46583272;M1;Pont de Neuilly;14d98de6-ffc6-43a2-860e-225a5bafb31a/f18d9711-8b9b-43a3-8139-e9a815f5fe3c;Pont de Neuilly;1;;;Esplanade de La Défense / Les Sablons;;48,88470820130;2,26051507789
40;f18d9711-8b9b-43a3-8139-e9a815f5fe3c;M1;Les Sablons;c1f64a40-3640-4a29-a774-9ecf46583272/00cb9108-5b85-4c30-b608-bc47a05bc205;Les Sablons;1;;;Pont de Neuilly / Porte Maillot;;48,88119152060;2,27168672105
50;00cb9108-5b85-4c30-b608-bc47a05bc205;M1;Porte Maillot;f18d9711-8b9b-43a3-8139-e9a815f5fe3c/f2fd6950-afae-4ef0-852e-767d5d8b7e9e;Porte Maillot;1;;;Les Sablons / Argentine;;48,87755125180;2,28316224223
60;f2fd6950-afae-4ef0-852e-767d5d8b7e9e;M1;Argentine;00cb9108-5b85-4c30-b608-bc47a05bc205/755ceb3a-df2f-456f-84e0-8664f6b75170;Argentine;1;;;Porte Maillot / Charles de Gaulle - Etoile;;48,87559404990;2,28932258961
70;755ceb3a-df2f-456f-84e0-8664f6b75170;M1;Charles de Gaulle - Etoile;f2fd6950-afae-4ef0-852e-767d5d8b7e9e/3c9bd481-35e3-4ffc-b973-f6a5c7f7f284;Charles de Gaulle - Etoile;3;3df2697d-2b6f-4981-a584-5dc323bfdb84/1f2da068-67ea-4aa0-bcae-9c95dcc28948;;Argentine / Georges V;Charles de Gaulle - Etoile / Charles de Gaulle - Etoile;48,87514981970;2,29590490608
80;3c9bd481-35e3-4ffc-b973-f6a5c7f7f284;M1;Georges V;755ceb3a-df2f-456f-84e0-8664f6b75170/b9d1c704-532d-44b1-934c-99df09c84323;Georges V;1;;;Charles de Gaulle - Etoile / Franklin D. Roosevelt;;48,87202380950;2,30056045125
90;b9d1c704-532d-44b1-934c-99df09c84323;M1;Franklin D. Roosevelt;3c9bd481-35e3-4ffc-b973-f6a5c7f7f284/e56520f5-e7d1-4b59-9c07-d38f701839ee;Franklin D. Roosevelt;2;833f96c2-0da1-47b2-a6f6-9c1e50dcc47d;;Georges V / Champs-Elysées - Clémenceau;Franklin D. Roosevelt;48,86980822020;2,30747079345
100;e56520f5-e7d1-4b59-9c07-d38f701839ee;M1;Champs-Elysées - Clémenceau;b9d1c704-532d-44b1-934c-99df09c84323/977af1c5-4d39-4406-82a5-c1e811c51410;Champs-Elysées - Clémenceau;2;891ef774-ed18-49c2-813e-624a98ea2dc1;;Franklin D. Roosevelt / Concorde;Champs-Elysées - Clémenceau;48,86790534490;2,31354554995
110;977af1c5-4d39-4406-82a5-c1e811c51410;M1;Concorde;e56520f5-e7d1-4b59-9c07-d38f701839ee/fbd3ad64-8537-4e18-afc2-ed5d3d9cb097;Concorde;3;39cd89b6-2ed3-4ef5-ac7c-e5903f131c96/52b3674d-e0dd-4997-ac4d-149e2874e0f9;;Champs-Elysées - Clémenceau / Tuileries;Concorde / Concorde;48,86628580460;2,32294341224
120;fbd3ad64-8537-4e18-afc2-ed5d3d9cb097;M1;Tuileries;977af1c5-4d39-4406-82a5-c1e811c51410/c8cca062-47ed-4801-8906-b5849492a297;Tuileries;1;;;Concorde / Palais Royal - Musée du Louvre;;48,86434377870;2,33012987711
130;c8cca062-47ed-4801-8906-b5849492a297;M1;Palais Royal - Musée du Louvre;fbd3ad64-8537-4e18-afc2-ed5d3d9cb097/0da91896-c62c-4bd3-b9b3-eb61633b0b82;Palais Royal - Musée du Louvre;2;0f5796bf-b157-4c46-9427-f9071fc75312;;Tuileries / Louvre - Rivoli;Palais Royal - Musée du Louvre;48,86234803080;2,33649646231
140;0da91896-c62c-4bd3-b9b3-eb61633b0b82;M1;Louvre - Rivoli;c8cca062-47ed-4801-8906-b5849492a297/241906bd-1a8a-460a-a00a-19ab1e7af0d9;Louvre-Rivoli;1;;;Palais Royal - Musée du Louvre / Châtelet;;48,86080629130;2,34110859163
150;241906bd-1a8a-460a-a00a-19ab1e7af0d9;M1;Châtelet;0da91896-c62c-4bd3-b9b3-eb61633b0b82/5732ca8b-23ee-47fb-9718-77d2f6b477c0;Châtelet;5;c9afc5c0-8386-4ac7-ba16-b78795f4bc30/9046fec1-7211-4c22-bdc3-f28e5aff4f2a/dbdbbb8b-724e-4cb7-af3f-a8d4094d0b87/22df1bb1-c6ab-4788-8194-fd97d494e025;;Louvre - Rivoli / Hôtel de Ville;Châtelet / Châtelet / Châtelet / Châtelet;48,85879919810;2,34730585275
