id,name,lat,lon
0,La Défense Grande Arche,48.89194444,2.237777778
1,Esplanade de La Défense,48.88777778,2.250555556
2,Pont de Neuilly,48.88444444,2.26
3,Les Sablons Jardin d'Acclimatation,48.88083333,2.2725
4,Porte Maillot Palais des Congrès,48.87805556,2.281944444
5,Argentine,48.87555556,2.289444444
6,Charles de Gaulle - Étoile,48.87444444,2.295833333
7,George V,48.87194444,2.300555556
8,Franklin D. Roosevelt,48.86916667,2.308333333
9,Champs-Élysées - Clemenceau,48.8675,2.313888889
10,Concorde,48.86611111,2.3225
11,Tuileries,48.86444444,2.330277778
12,Palais-Royal - Musée du Louvre,48.86277778,2.335833333
13,Louvre - Rivoli,48.86111111,2.340277778
14,Châtelet,48.85861111,2.347222222
15,Hôtel de Ville,48.85666667,2.351388889
16,Saint-Paul Le Marais,48.85527778,2.360555556
17,Bastille,48.85305556,2.369166667
18,Gare de Lyon,48.84472222,2.374166667
19,Reuilly - Diderot,48.84722222,2.386666667
20,Nation,48.84833333,2.395833333
21,Porte de Vincennes,48.84722222,2.408888889
22,Saint-Mandé,48.84638889,2.418611111
23,Bérault,48.84527778,2.429166667
24,Château de Vincennes,48.84444444,2.439444444
25,Porte Dauphine,48.87146658,2.277083017
26,Victor Hugo,48.86979856,2.285335095
27,Charles de Gaulle - Étoile,48.87423848,2.294490591
28,Ternes,48.8779727,2.298310375
29,Courcelles,48.87921413,2.303528725
30,Monceau,48.88044946,2.309451168
31,Villiers,48.88115003,2.315176626
32,Rome,48.8822269,2.321274927
33,Place de Clichy,48.88343001,2.327228336
34,Blanche,48.88395857,2.33192659
35,Pigalle,48.88244269,2.337085137
36,Anvers,48.88286865,2.344130634
37,Sacré-Cœur,0,0
38,Barbès - Rochechouart,48.88373447,2.349636148
39,La Chapelle,48.8843988,2.360491319
40,Stalingrad,48.88399522,2.368912703
41,Jaurès,48.88273813,2.370122312
42,Colonel Fabien,48.87761019,2.370811395
43,Belleville,48.87199369,2.377029777
44,Couronnes,48.86909116,2.380542586
45,Ménilmontant,48.86680004,2.38338325
46,Père Lachaise,48.86294983,2.387434951
47,Philippe Auguste,48.85846655,2.389729852
48,Alexandre Dumas,48.85637736,2.394561945
49,Avron,48.85151028,2.398302344
50,Nation,48.84823711,2.395823589
51,Pont de Levallois - Bécon,48.89782107,2.279809587
52,Anatole France,48.89208279,2.285009503
53,Louise Michel,48.88870602,2.288083633
54,Porte de Champerret,48.88579311,2.292582314
55,Pereire Maréchal Juin,48.88502842,2.297362301
56,Wagram,48.8838092,2.304674441
57,Malesherbes,48.88289192,2.309052265
58,Villiers,48.88115003,2.315176626
59,Europe Simone Veil,48.87877037,2.322265213
60,Saint-Lazare,48.87593315,2.325727961
61,Havre - Caumartin,48.87380673,2.326999859
62,Opéra,48.87067768,2.332354639
63,Quatre-Septembre,48.86958524,2.336218848
64,Bourse,48.86869598,2.340720724
65,Sentier,48.86730948,2.347516213
66,Réaumur - Sébastopol,48.86623513,2.352549304
67,Arts et Métiers,48.86558648,2.356736757
68,Temple,48.86668268,2.361541532
69,République,48.86750342,2.363826144
70,Parmentier,48.86525379,2.37458197
71,Rue Saint-Maur,48.86408657,2.380797986
72,Père Lachaise,48.86294983,2.387434951
73,Gambetta,48.86491669,2.39898444
74,Porte de Bagnolet,48.86458519,2.408759948
75,Gallieni,48.86533532,2.416697273
76,Parc de Bagnolet,0,0
77,Gambetta,48.865,2.398333333
78,Pelleport,48.86861111,2.401666667
79,Saint-Fargeau,48.87194444,2.404444444
80,Porte des Lilas,48.87722222,2.406666667
81,Porte de Clignancourt,48.89722222,2.344722222
82,Simplon,48.89472222,2.347222222
83,Marcadet - Poissonniers,48.89138889,2.349722222
84,Château Rouge,48.88722222,2.349444444
85,Barbès - Rochechouart,48.88361111,2.350555556
86,Gare du Nord,48.88027778,2.355
87,Gare de l'Est,48.87611111,2.358055556
88,Château d'Eau,48.8725,2.355833333
89,Strasbourg - Saint-Denis,48.86944444,2.354166667
90,Réaumur - Sébastopol,48.86638889,2.3525
91,Étienne Marcel,48.86388889,2.349166667
92,Les Halles,48.8625,2.346111111
93,Châtelet,48.85861111,2.347222222
94,Cité,48.85583333,2.346111111
95,Saint-Michel,48.85361111,2.343888889
96,Odéon,48.85222222,2.338888889
97,Saint-Germain-des-Prés,48.85388889,2.333333333
98,Saint-Sulpice,48.85138889,2.331111111
99,Saint-Placide,48.84694444,2.326944444
100,Montparnasse - Bienvenüe,48.84333333,2.323055556
101,Vavin,48.84222222,2.329444444
102,Raspail,48.83888889,2.330833333
103,Denfert-Rochereau,48.83388889,2.3325
104,Mouton-Duvernet,48.83222222,2.330277778
105,Alésia,48.82833333,2.326944444
106,Porte d'Orléans,48.82305556,2.325833333
107,Mairie de Montrouge,48.81833333,2.319444444
108,Bobigny - Pablo Picasso Préfecture - Hôtel du Département,48.90637477,2.449189904
109,Bobigny - Pantin - Raymond Queneau,48.89545467,2.425326892
110,Église de Pantin,48.89325759,2.41331314
111,Hoche,48.89122859,2.402352147
112,Porte de Pantin Parc de la Villette,48.88947266,2.395795328
113,Ourcq,48.88713487,2.386960017
114,Laumière,48.88521618,2.379663082
115,Jaurès,48.88273813,2.370122312
116,Stalingrad,48.88399522,2.368912703
117,Gare du Nord,48.88092201,2.356328544
118,Gare de l'Est,48.87737562,2.359456617
119,Jacques Bonsergent,48.87080998,2.361027463
120,République,48.86750342,2.363826144
121,Oberkampf,48.86472762,2.368496387
122,Richard-Lenoir,48.85987362,2.371913979
123,Bréguet - Sabin,48.85614071,2.370209341
124,Bastille,48.85343696,2.368736573
125,Quai de la Rapée,48.84651541,2.365873467
126,Gare d'Austerlitz,48.84236008,2.365581704
